account_id,risk_score
6b88f83d-d97d-c9cd-033d-2bce575aed2c,0.3767
1f15c7b6-7c16-128d-b2c0-8394e17f29e1,0.2701
54669d19-10df-9974-55ab-946da5b5cdc2,0.3977
74f93d17-e912-b4bf-86a4-bae41986b4b2,0.1266
a3d70628-ece6-6fa2-fd51-66e6451b4cf3,0.1799
ab05347f-d556-b37d-8f08-81ee8011316b,0.388
81e0d489-5a18-e2a3-0e61-4bcd97674900,0.3911
0d01280f-d89a-40c0-e87d-1c78e7c421c7,0.3976
989d9d4a-e15c-a666-4797-b2c957207246,0.3045
9458054e-c287-4f06-9050-f7efc1235c91,0.4964
5bd20c98-a513-5ea0-fa53-e34de6d5901d,0.3526
88575117-6155-4667-2112-507c2cfa55b0,0.4742
bd1531c8-3764-fbda-3108-d4482f65fafa,0.2628
06cb0fb3-9a1d-e644-815e-f6d13b8faa18,0.3134
cfd01cbd-5f65-c8ce-bd21-bc11be9d61ee,0.3167
5275eb94-14ae-af5c-e636-58c912d0498d,0.4843
a3b5cece-a446-be72-364c-911aa9ab364a,0.4231
31274148-7c7c-404e-c422-d03ef29a6339,0.3778
ae9bec36-35c7-936c-5b99-62c6e61fecc0,0.1281
4d3485c5-c5c1-4eb4-b27b-3d901a16342c,0.2789
a85c6e4a-004b-6fab-fcf5-6188d32e6dcd,0.2265
17e8392a-55ce-e5db-9e87-e04ca2086977,0.3721
295b4715-c333-e861-5fb8-d16c2720797d,0.3156
d9f195d0-1482-2f53-8201-0c62f5f59b22,0.3045
c268283e-e32f-2e63-b7fd-dd71a075e927,0.257
bdc14f1f-295d-6fbf-430f-801dfad409e2,0.3724
4d29d1ab-3455-12f7-01f7-c7ec0e0630cd,0.4916
f4e559e5-9622-9348-0f5a-e9d38e6e5003,0.126
8eb22579-0cdb-1ca4-76ec-bdd68498e113,0.3714
117b355b-7094-4bdb-26a5-24e350ee7a92,0.3978
badcc32a-c159-0f53-8a0f-4efbedcd465e,0.2685
e0c53cb8-3da9-c2a9-0ed4-2f1a3d4cbf37,0.3337
956b8c0c-a849-9b92-6b52-52e314fcdd54,0.273
30a900ad-939b-462d-e645-f129629c2ae3,0.2645
ce177b4e-0837-b8a3-d261-a7ab3aa2e4f9,0.3641
a23d4c2f-c2a7-9689-1933-918cfa745761,0.4204
1a3d1fa7-bc89-60a9-23b8-c1e9392456de,0.2531
5230dfbd-5553-b2fe-6889-803e5913f9d3,0.3508
e623a689-5d59-cd2a-4eea-04e70ab54bde,0.244
78660765-14f7-ce8d-d5bc-b8d04094dded,0.1754
c7b5b2bc-5a8a-aeca-1a50-aec3aabc25fa,0.263
7250ee18-260a-5962-dd81-b7f57d5911c6,0.0751
138d994c-2b0a-bedd-c774-44cb5543fc3c,0.4753
fc3e058b-e0f3-eab0-5cec-4eb5edd96831,0.2179
ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,0.3731
c8dcd19f-3e35-1128-7900-f7f993829b43,0.4543
877409a9-77d2-1e02-ff01-cf99988c24c9,0.3378
3f87e362-cf8d-446a-bc2c-bb0ddd334cc7,0.6201
b00805cc-a7f3-6ae9-25c7-3c443e75c3b4,0.3875
97fa7f04-8363-9007-5cae-9610c72c1fe3,0.1845
ff9ab5c2-9f04-4aed-7552-332702627f73,0.2897
fff9f585-0d55-7b61-8a17-5dfebfc00dc8,0.3713
ad261ec5-5d42-b9e9-692e-07b60b2f6d5c,0.2988
79c2d2e4-9ae1-a991-524f-93ff30307633,0.3777
8f9797b0-6d7c-e3c9-b4a6-9f3c8d3aed99,0.3341
6a34c854-1071-4d51-36c5-9dacb4d7e28e,0.3771
0a2c827e-9832-6856-9434-0a033f07f814,0.3607
f6e39356-a814-9562-da00-3f16b9469bcf,0.3844
ea1fca65-e27a-984d-6548-21d07fcd9eb1,0.3967
aac93316-86e5-2753-7c93-f6cc97d7a560,0.425
01902620-59dc-abd0-56fe-bfb9ebe9e207,0.4477
c42cbc39-e05b-46c5-5636-3094a97431db,0.261
398d1ca6-8b68-70b5-1d61-fac36cd5e859,0.3105
5876fd09-f1fa-f665-7115-33f312e89d10,0.2333
7f54a511-01fa-964e-1eb7-4b5653ffd3a2,0.4552
c9af18f8-43b9-da13-ec85-6f373bc1a987,0.2894
a021c0ca-3531-968d-c342-bd2bf295456e,0.2131
20ac3703-eb67-146a-77a6-e17cd72b6108,0.3948
0d2b91ef-b897-6ec5-ea74-bb18de3b496f,0.4494
48bddb3e-62f5-df2b-adaa-44ca8ed6ad5e,0.3466
53cd6268-610c-f373-4299-9aa40cdf742b,0.2388
09a0a0f6-73b0-a091-7634-c1694f76e388,0.3844
989bc4da-9b37-a22b-6a8a-616fc3b290d0,0.2616
9716108e-f721-69bb-8096-27182051acef,0.44
8dcdcd03-969b-6662-0562-8059568cc69b,0.3813
fbe94499-dbc0-80fd-46fb-7bf300b9d4a3,0.1374
39c1e262-f76c-8ede-c110-12662408a6dc,0.2371
48f1096d-9c4f-fb46-71b7-01aaf836f571,0.3044
b3e4110a-45f5-0c52-2e2f-bf77076979d6,0.453
c241330b-01a9-e71f-de8a-774bcf36d58b,0.431
112fa612-7969-9ed2-ec48-bf55afd380c4,0.2866
3985c3cf-3f76-be1d-1efa-21977394988f,0.2878
284d82e5-87f7-e1fb-da4b-d9caeb5cf467,0.3231
dafec8a9-3c71-e0be-f357-956071d79665,0.1976
e6697833-b841-d0a0-1fe7-71d6d9178793,0.5709
e7c99b26-1141-25c6-3a9b-edd40f1259e0,0.2292
8186a576-11a7-2609-5edd-bbbfa9597663,0.359
1a85910d-5a05-7c11-4ffc-a6b199b479d4,0.3892
f143262f-dc5c-0eed-8da0-365bf89897b9,0.2005
bf1e8366-4b8e-63d4-ce76-07adf7a67b94,0.3325
0a17991e-a576-9411-a0a1-1839e7457704,0.4932
0a4c9f7f-9384-ec2b-44fe-acaed248a9a7,0.3132
afffcfd2-341e-f40b-57c7-00aab7b56ea7,0.215
3eae0032-0bd4-a990-0640-be0f25b8fd4b,0.2582
f6f7f0cc-29ec-8e49-d1bd-b8c0c71d5e60,0.1766
9b689c88-3ae9-09fe-cc82-18dac696f5e6,0.2211
d5704f32-702c-dd20-2862-18b848f4ef12,0.1991
13a4a492-497d-e16d-d4ea-120a5e659654,0.3125
0ef8c2d6-f7fd-5646-37bb-3eec4bf50b52,0.3026
458f1f19-3c07-c574-4925-7af1b6aae05b,0.3512
5cb85aed-f5f6-2c97-6efb-63b11b049863,0.2926
dc33e1f9-4c1f-55ab-7156-29eee893be3d,0.2691
1d2324e6-8329-20b7-c143-f426372f871a,0.447
46d483f3-d450-281c-6c6f-7633a2607723,0.0993
6502d6a2-ca6a-2224-171e-16cc5da36f1b,0.2787
17fc695a-07a0-ca6e-0822-e8f36c031199,0.3045
c521bf2d-dc45-d539-c03f-3538e4855aa1,0.4183
b38a088c-a65e-d389-b74d-0fb132e70629,0.1643
42deffcc-f86c-2ca2-e085-96db1d870966,0.3397
7d106c60-8162-7cf1-4394-72e6da587e8a,0.1069
4dead645-0986-bbeb-f23e-323d0b9bd934,0.3817
9261549d-3d22-5c30-b28f-41defb140bc3,0.4004
2834e4c0-14c8-b3b4-a911-d19243bfd931,0.3608
300568d2-0de0-51a6-69ca-97d2764414fd,0.3506
bf7b539b-0f9a-ea4b-8acd-4e10bc594585,0.3306
83f4a9a9-48a6-39d0-15b5-2908a8aa7158,0.3295
6c9f82b9-f647-8986-a391-7c994c955f6a,0.1736
45c45a3e-e9da-484a-8075-9f1f87e5f0fe,0.3151
7674456f-626d-719d-81cf-325298159d6c,0.3978
6e218b09-9afd-4015-816b-cb9f7426b193,0.2193
a5d04d53-1e12-42e3-f272-92b6762172ed,0.2934
b9de7a3a-4868-22b9-00a8-1de9d20f87d0,0.3886
0b1f9163-ce9f-f57f-43b7-a3a69a8dca03,0.2881
c478f6f1-b88e-c318-c16d-83edad81f8bd,0.408
0f02bad0-e706-7ef4-66aa-9385dd59ba71,0.1171
4ab7706e-b773-50ca-eec2-59dc7f95897c,0.3614
1ee34dc4-3b04-8a8b-405b-fdc94e7ed827,0.2258
f7dc67e0-3097-4b2b-46a0-2a9b65ec7acd,0.3947
06b89231-8e86-7f3c-a487-eeabaccb461a,0.4998
f758dce2-0556-daea-67b0-32831d7c0098,0.4329
49c13de7-3b42-06c5-085b-15fb4a8ff810,0.3288
aefcfad8-efc8-9849-b3aa-7efe4458a885,0.1076
474ebc19-2ef9-1276-6c00-6f6123e2fcb4,0.396
6e0d2648-35ce-8841-4973-2d6c4dcabfb7,0.4536
746cdb77-1fa3-82e8-895c-cd9943b38eb4,0.3592
157d94a1-06f0-28ff-a9ba-5a27907bfe36,0.2293
56ea57b3-beed-10b6-4f6e-274bdedab027,0.5149
a974d079-716f-da0a-45a8-882914e286e5,0.4954
3985fb62-17dc-8eff-6872-13f98d605936,0.2403
7b3a4e3e-7c52-fa17-680a-c07a2a935d62,0.224
afbb411a-a123-5a8c-93b7-a88612f70c97,0.291
78308930-1327-f1bc-2784-378ff84f16b3,0.3015
6f81cf4f-7701-f7bb-7bc6-7e1fc64ee6e3,0.2017
a561e1e9-17ec-889c-86c1-b6cbe99630f7,0.3911
171dabf9-daf4-81a7-fa34-d2e8dd3f7d7e,0.4255
6d4067f4-5003-2b35-1857-8bafbac7e2b9,0.1417
dc8aee30-be60-33f7-28be-9288e5af6e39,0.3556
6de59332-9364-f3d0-5024-bdc6dcb33df3,0.4796
69288e92-c68a-152f-db23-aa8c3bcabf85,0.3866
341c6494-0d36-6dfc-c28e-bd7071299889,0.1765
9f0fda8d-0537-9ff6-d6d7-b3b833094d35,0.2017
1dde7969-6886-13db-a634-8e784d5c55c7,0.4229
7f2984f5-bec3-9a37-9b3d-74bde91e314e,0.1209
ffb8102d-9475-dbc9-9641-8cedd664d264,0.4012
935f2b0a-a138-4ddc-e2d9-de5d6a18ce4c,0.1674
8d03c91e-4f8d-5238-288b-78b5b5b453ca,0.2981
ae8a7813-90e0-a95b-697c-392387fa841a,0.5732
a092f52a-d4a0-57a7-b0cc-1b3b9793b9b4,0.3704
466772ce-204e-178c-10d0-8d1125f934bf,0.2113
1b66b5a9-e3c4-3657-1d8c-bbac43b409ef,0.188
9ad620ab-4821-2ddb-45b8-9cd927cb6f2a,0.3921
43f59a85-fbc9-f87a-f668-a61794a1875d,0.3682
e8a3f341-c881-9065-ba2c-98ce0b19f88e,0.2627
892e6161-be2d-740a-1e9b-23bc50c7c006,0.1515
63f2ae24-fc3d-3348-008d-4127610461e3,0.3869
c7fee39f-1190-f938-a66f-d7f739669fa7,0.2131
b7e6427c-bf78-0e3f-f6b7-51f79b749245,0.1386
4169b9fc-c3a0-0c6f-2321-d1e1c47104c0,0.5034
0c0fd195-c17a-f08a-1745-d6d87e570ddf,0.352
61607459-85c7-504b-c693-da1139c6a1ca,0.3805
277d1be9-6070-b6a1-98e5-2499218c6e1c,0.2218
47503f1d-c33a-1f6c-1d69-1fba5e187b24,0.4058
14dd5061-5557-36f8-267e-ddcedf8f4197,0.3644
505cc686-9f87-1ce7-5487-fd4febb7a385,0.4084
638c254c-076e-2bba-7c53-08bf6f92f25e,0.3461
4b5305e5-17d2-582e-046a-0df5cafda613,0.3568
787f2425-dbcc-c477-09e9-db0adf465290,0.3218
74eff545-3e65-2603-78e3-654bfaf14ff0,0.2741
19bc143e-fb02-bebb-4872-9a4d98c7472a,0.2997
8861fe18-58e2-5888-0a83-81bec85aca46,0.3623
134a5a2f-a7cf-705c-c257-cf73c29d782b,0.5922
e64d1bcb-7027-53a1-5f98-7c71a65e688e,0.214
11c58ef0-dd46-3c09-4752-87aa5408f9ac,0.3896
9191b363-4e2d-6645-6dc7-cac7fd72b050,0.3045
65c17795-b155-16bc-9f8d-ed9756abf2f1,0.2866
284bf962-5744-f596-7422-21676b7a2460,0.4993
7135f221-a6c9-537f-84da-d06a7872bdeb,0.2999
8da8eee4-0df5-6ac6-f96b-648a0ba6eab9,0.4645
9a36d1ec-2c6a-6e9a-3280-67a14187222b,0.4679
3a7e8e14-e359-eee1-7399-1a476e191042,0.2753
66132e69-7418-8109-d3d1-bf0f56c438e4,0.2857
b18753e6-d457-8ad9-a867-a096edd877c8,0.4669
006ed6e3-6fa1-7735-b572-f3d00b5cea6a,0.3512
bc0a6a5d-6e99-6e3e-e3b1-37fc0a3450fc,0.2877
fc377a4c-4a15-544d-c5e7-ce8a3a578a8e,0.2262
8bcf53a1-bc10-fa52-bf5d-2fdf89c8d2ab,0.462
acdabacc-1165-e210-9854-3881118a9d29,0.2447
af908e3c-dd75-0e98-90e0-b95f0212b554,0.2814
d39e198b-4400-7d5a-e88d-a71926242b40,0.383
b1a6b1f1-620e-99d3-3b33-f3d8269cd696,0.3801
1723199d-bf2c-14a0-3a3c-8a71ff574e2b,0.3041
a34b6cf6-2053-da42-f1af-db65b289f224,0.2796
cada4f80-a9e7-82d4-fd08-b32c62d60e93,0.4277
9be578c7-81f6-31d4-a392-31a7d777a477,0.2241
da509fed-1d4a-3d81-b3a7-d0e0cb08587d,0.1204
925817b7-cf50-1889-e8b7-7f7b7321bf6b,0.3446
06998731-ddcf-8766-a93b-12cd1c24220e,0.0941
663f1c97-9562-69f0-e5d7-b8756dadd6c7,0.2866
c2b6d2c5-fa5d-3100-11b7-e948d0e6e660,0.2469
1bac27a7-b386-f7a4-c991-603f28c13091,0.3995
63b4c08b-6b8e-869f-d538-5b0e34f3193c,0.2407
59a1120e-1bb4-3332-d8e7-012f39681c81,0.4256
a99f1318-49c8-a43f-7ed7-0ed7b194990b,0.2743
f6e07cc0-6c52-c49f-9b49-bd26df57c59a,0.2829
0d77c5a0-e222-b6a6-15bf-be9798a21f1c,0.4578
8fb864e4-f173-8856-e25d-36eb9e9a9f83,0.2886
1825bc54-30be-b45f-6835-14f2ceb81f9d,0.2584
f1b64afe-d31e-df1a-e9ff-1cae41c8ca8c,0.1202
6c6fa611-5ab3-3edf-6e59-5ed3a8b317fa,0.282
434308bc-89fa-6a68-8fb5-d27bbeb79919,0.2222
688c7015-aab9-7e49-4f2d-479681d2c7de,0.371
b3ecb951-ab8c-bf97-20b7-1785d02ce0c1,0.3844
54c63cd8-8945-6f27-d7fa-2d8dfb2ca025,0.2519
75d66ed4-eb1f-a9f2-d10b-d1d033173470,0.3615
04fc6d82-7d15-4385-52fb-e43b99546eb4,0.3074
19597b5a-a7a8-f636-6a35-df59e2aa7a5d,0.2559
96da1dac-72ff-5d2a-386e-cbe06b65a6a4,0.434
1497d658-7010-f719-7e69-5d0d8a3c3b5e,0.3608
5260001e-eecf-67d2-7491-76f46090d697,0.3712
13c11754-27aa-7cbc-2337-7bbcfffe77c8,0.3708
e45b712e-b822-5688-d0a4-44329cd6c852,0.3194
747b6dba-c8fe-3ccd-c8b8-d9c6ed3049cf,0.2976
fbddcf7c-9c96-e9ec-4d71-c366b41b3143,0.3282
bd767e35-f5c9-b047-9c10-c5720f6b40d0,0.2679
587ef344-6f3f-920c-98b8-e4cc1bc044fc,0.2571
62801c45-1043-5a10-98ae-43346c12ace8,0.3865
f6febc0e-7ecd-dbaf-26f0-5fcffb16e5db,0.5073
bdf66ba5-dc9c-96de-65a6-74c212738a23,0.5609
ca0ac6ac-0d67-d38e-990f-0c5badcc3daf,0.3546
ebd14d2c-75b2-7455-04cc-3ede6fac1673,0.4853
22f235f2-e11b-868d-bf0d-073d821c1336,0.3524
a53f8a28-abf3-e3fc-2181-3d25655238a6,0.2158
6e068097-25e9-7977-8d72-48e2951f58d0,0.2353
dabac50d-ca3d-d859-c5ce-099c46b82659,0.3641
a4161293-c4c2-e2e3-444e-a7c8c0398710,0.3774
7d824264-1ba3-62e7-afa4-15e56d204496,0.4849
2cf6bf75-6a5e-6920-bf5a-e7e653a3dd5a,0.3713
59e1ac09-5970-a859-c6b6-e4ade7ea8d5a,0.5081
6694c343-10ba-58e3-d276-2bdc1d34d08e,0.658
